,PC1,PC2,PC102,PC105,CLASS
GSM120468,-21.6317425,-1.011280762,1.815447724,-1.45E-14,1
GSM120475,-28.27278917,-9.488905872,-0.160780928,-2.38E-14,1
GSM120477,-15.19681101,1.11970964,0.567049951,-1.63E-16,1
GSM120478,-17.27622471,-7.202905712,-0.594045393,-2.76E-15,1
GSM120481,-16.45608533,-5.543290549,-0.039663796,2.78E-16,1
GSM120484,-12.75014639,1.42039295,1.241854027,-7.88E-15,1
GSM120486,-18.07702566,-2.777410005,-0.84806074,-4.49E-16,1
GSM120487,-6.611094907,8.780517288,-0.648319419,4.57E-15,1
GSM120488,-13.00652778,0.332301372,1.916321515,3.29E-15,1
GSM120493,-28.66445894,-3.441671752,-1.161819107,-4.92E-14,1
GSM120495,-25.23328845,-2.246150197,0.173543005,-5.77E-15,1
GSM120496,-22.28963921,-2.09438818,-0.655616591,-5.41E-15,1
GSM120500,-24.89509672,-0.322698889,0.321921237,-1.23E-14,1
GSM120505,0.480406178,0.933318115,-0.510298519,2.28E-15,1
GSM120506,-4.4706578,-3.960796586,1.450120736,2.22E-15,1
GSM120508,-18.85670326,0.320292561,-0.071054809,-8.37E-15,1
GSM120518,-9.803281109,-0.505312971,-0.590713595,-2.62E-15,1
GSM120524,-1.430125669,4.848137741,0.566011082,2.56E-15,1
GSM120529,-26.53924114,4.53769736,0.559889931,-2.10E-14,1
GSM120537,-19.39982248,-1.732786414,-0.585915592,-1.44E-14,1
GSM120541,-4.209796926,-7.448924876,0.900019235,2.05E-15,1
GSM120543,-15.77177098,-1.424126957,-0.380569711,-9.71E-15,1
GSM120544,-4.629277571,-3.246979345,0.294188323,-3.23E-16,1
GSM120545,-5.053785036,-6.748209289,0.199227706,4.69E-15,1
GSM120551,-11.13318384,-0.266817243,-1.518883226,2.30E-15,1
GSM120555,-15.7855799,-1.254999579,0.499395341,1.95E-15,1
GSM120558,3.458878263,2.726103577,0.082539504,-2.10E-15,1
GSM120560,-5.32149899,-4.409030542,-0.285976238,-2.01E-16,1
GSM120562,-15.73952259,3.631013253,0.946579648,7.60E-15,1
GSM120569,-19.37817177,0.919779732,-0.363540695,-3.39E-15,1
GSM120570,-24.57259021,-2.215056221,-0.375618078,-1.05E-14,1
GSM120571,-16.40242741,4.487777387,1.368319828,2.41E-15,1
GSM120573,-14.58500339,4.517436253,-1.818949102,-1.24E-14,1
GSM120597,-16.3793513,5.141512083,2.294242126,3.96E-15,1
GSM120598,-17.81887845,0.527294367,-1.526615236,-8.48E-15,1
GSM120599,-13.20619927,-12.51709391,0.171613093,-8.97E-15,1
GSM120601,-19.66776006,-2.567586072,-1.18050539,5.25E-15,1
GSM120604,-18.93436505,-12.35527902,0.582557044,-6.96E-15,1
GSM120625,-25.38593878,-4.210771884,-0.271584233,-6.68E-17,1
GSM120626,-3.922177765,-8.183792557,0.217112312,-5.46E-15,1
GSM120627,-13.52522463,4.316600354,1.691290344,-7.95E-16,1
GSM120630,-18.19961931,-2.321255127,-1.239896081,-1.50E-14,1
GSM120632,-12.10478885,-7.0756352,0.102149007,-9.11E-15,1
GSM120633,-14.26820368,1.452866625,1.632269904,5.23E-15,1
GSM120637,-18.65628929,-0.84392681,-0.025183977,6.37E-16,1
GSM120469,26.87919347,-3.082391299,0.240527852,1.20E-14,0
GSM120470,-4.395195218,2.200378471,-0.875017376,-2.50E-15,0
GSM120483,21.23761185,-0.357196708,0.348932653,1.38E-14,0
GSM120485,11.49831722,11.91912942,0.010003942,5.13E-15,0
GSM120489,25.31237827,-2.828244042,-0.30734498,-1.38E-15,0
GSM120492,-15.78642911,2.678422822,-1.765476432,-1.09E-14,0
GSM120494,24.35834887,-0.762676457,-0.044449069,2.93E-15,0
GSM120497,5.600781274,2.725976122,-0.103704448,4.51E-15,0
GSM120498,25.1321658,-0.031573159,-0.532473668,-6.79E-15,0
GSM120501,5.69003646,-0.332709084,-0.387429108,4.23E-15,0
GSM120503,25.89594942,-2.084979411,0.432614396,5.64E-15,0
GSM120510,7.864992826,8.537461296,0.127457869,8.32E-16,0
GSM120512,7.019002201,2.097394863,0.178524032,7.88E-15,0
GSM120515,12.41004498,-5.37418844,0.338661158,2.71E-15,0
GSM120516,-0.93577405,5.434602615,-0.875809198,-7.20E-16,0
GSM120520,24.67898477,-2.445247096,-0.078084507,-8.21E-15,0
GSM120522,24.950489,-2.275015145,-0.431746593,-1.79E-15,0
GSM120526,-2.482380877,-4.278625018,0.489335875,1.38E-15,0
GSM120528,6.378775698,2.18533758,-0.42511527,6.21E-15,0
GSM120532,21.30892244,2.292892192,-0.103467226,1.40E-14,0
GSM120534,5.015885246,4.847706264,0.708842167,-8.67E-19,0
GSM120536,18.20311554,-1.157387162,-0.082252412,1.08E-14,0
GSM120539,25.21465139,-6.093856276,-0.626159231,8.04E-15,0
GSM120540,9.703324222,-2.817381674,0.415342895,3.76E-16,0
GSM120542,26.14805094,-2.356405319,0.206671131,-7.44E-15,0
GSM120546,33.54491282,-5.330092379,0.306938485,3.50E-14,0
GSM120547,12.57651177,-6.092355012,-1.480584259,-1.01E-15,0
GSM120548,13.24737174,4.139075028,-0.29850732,9.54E-15,0
GSM120549,26.05233172,-5.108962021,0.224267578,6.55E-15,0
GSM120550,-15.62430308,3.998532533,-0.167911664,-1.50E-14,0
GSM120552,1.13188528,9.853099423,-0.786779893,1.10E-15,0
GSM120553,22.63771413,-2.531312404,-0.147558796,3.20E-15,0
GSM120554,21.08241711,-2.044086665,0.369786637,7.16E-15,0
GSM120556,15.20618902,2.21871577,0.552037519,4.43E-15,0
GSM120557,-8.682949586,8.166659502,-0.613283647,-2.85E-15,0
GSM120559,15.50705477,5.324831157,0.121042874,1.08E-15,0
GSM120561,32.36041401,-8.625856095,0.015446134,1.16E-14,0
GSM120563,30.27133167,-12.86994178,0.310213219,1.74E-14,0
GSM120564,9.338329155,0.570585918,-0.418006298,3.95E-15,0
GSM120565,13.52492136,4.343694291,-0.60026089,1.27E-14,0
GSM120566,2.499736512,-4.191757815,-0.169793765,1.71E-16,0
GSM120567,-11.94688332,-8.117949238,0.4513277,2.04E-15,0
GSM120568,14.64625942,2.566599759,0.057144971,7.32E-16,0
GSM120572,22.39897242,-1.283624149,0.044509142,-1.15E-14,0
GSM120592,11.70390082,6.736756222,-0.257657314,1.88E-14,0
GSM120593,7.173163767,2.209866729,0.317318565,2.09E-15,0
GSM120595,5.319756488,5.734313294,0.743209623,1.69E-16,0
GSM120596,7.437391239,8.557490992,0.027636997,9.74E-15,0
GSM120600,9.569182473,3.98407284,-0.116549604,3.92E-15,0
GSM120602,12.21203396,3.097018086,-0.268177146,-1.65E-14,0
GSM120603,6.673942197,12.81201003,0.297177427,6.80E-15,0
GSM120605,9.999610606,11.6015548,0.146234453,1.96E-15,0
GSM120606,18.77901902,2.026697834,0.242289912,6.21E-15,0
GSM120628,-10.7043535,6.248851099,-0.011865751,5.86E-16,0
GSM120629,-5.187626416,3.594168082,2.371996046,3.28E-15,0
GSM120631,13.83599423,-8.588182112,0.198667565,9.35E-15,0
GSM120634,7.164030275,1.668793785,-0.193096456,1.62E-15,0
GSM120635,3.663692942,-1.973264342,-1.50572426,5.22E-15,0
GSM120636,-6.917873845,1.943469902,-0.640594612,4.54E-15,0
GSM120639,-5.822440943,14.12343344,-0.719329787,3.77E-15,0
